Time,Total Power (dBm),Signal Power (dBm),Eb/No (Demod dB),Eb/No (Decode dB),Carrier Lock,Symbol Lock,Carrier Offset (KHz),Symbol Offset (Ksps),DC Bias,Amplitude Imbalance (I:Q),Phase Imbalance (deg),Viterbi-1 Lock,Lock Loss Accumulation,Total Bits,Error Bits,BER,Viterbi-2 Lock,Lock Loss Accumulation 1,Total Bits 1,Error Bits 1,BER 1,Frame Sync-1 Lock,Received Frames,Error Frames,Dropped Frames,Frame Header Error Bits,Frame Header BER,CRC-1 Lock,Total CRC,CRC Errors,RS-1 Lock,Received Packets,Error Packets,Correctable Packets,Correctable Packet Error Bits,Correctable Packet BER,LDPC-1 Lock,Received Frames 1,Error Frames 1,FER,Total Bits 2,Error Bits 2,BER 2,Frame Sync-2 Lock,Received Frames 2,Error Frames 2,Dropped Frames 1,Frame Header Error Bits 1,Frame Header BER 1,CRC-2 Lock,Total CRC 1,CRC Errors 1,RS-2 Lock,Received Packets 1,Error Packets 1,Correctable Packets 1,Correctable Packet Error Bits 1,Correctable Packet BER 1,LDPC-2 Lock,Received Frames 3,Error Frames 3,FER 1,Total Bits 3,Error Bits 3,BER 3,VCM Lock,1-Frame Type,1-Total Frames,1-Error Frames,2-Frame Type,2-Total Frames,2-Error Frames,3-Frame Type,3-Total Frames,3-Error Frames
2024-03-29 22:40:42.738,-41.1,-53.8,0.8,1.4,Unlocked,Unlocked,1818.5220000000002,1.123,0.00+0.00j,1.0,0.0,Not Working,0,0,0,0.0,Not Working,0,0,0,0.0,Unlocked,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Unlocked,0,0,0.0,0,0,0.0,Not Working,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Not Working,0,0,0.0,0,0,0.0,Not Working,8PSK 2/3,0,0,16APSK 2/3,0,0,16APSK 4/5,0,0
2024-03-29 22:40:43.752,-41.1,-53.2,0.8,1.4,Unlocked,Unlocked,1104.0330000000001,-0.723,0.00+0.00j,1.0,0.0,Not Working,0,0,0,0.0,Not Working,0,0,0,0.0,Unlocked,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Unlocked,0,0,0.0,0,0,0.0,Not Working,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Not Working,0,0,0.0,0,0,0.0,Not Working,8PSK 2/3,0,0,16APSK 2/3,0,0,16APSK 4/5,0,0
2024-03-29 22:40:44.766,-41.0,-53.3,0.9,1.5,Unlocked,Unlocked,-2407.357,-6.936,0.00+0.00j,1.0,0.0,Not Working,0,0,0,0.0,Not Working,0,0,0,0.0,Unlocked,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Unlocked,0,0,0.0,0,0,0.0,Not Working,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Not Working,0,0,0.0,0,0,0.0,Not Working,8PSK 2/3,0,0,16APSK 2/3,0,0,16APSK 4/5,0,0
2024-03-29 22:40:45.780,-41.0,-53.6,0.6,1.1,Unlocked,Unlocked,2051.612,-2.05,0.00+0.00j,1.0,0.0,Not Working,0,0,0,0.0,Not Working,0,0,0,0.0,Unlocked,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Unlocked,0,0,0.0,0,0,0.0,Not Working,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Not Working,0,0,0.0,0,0,0.0,Not Working,8PSK 2/3,0,0,16APSK 2/3,0,0,16APSK 4/5,0,0
2024-03-29 22:40:46.794,-41.1,-53.8,0.8,1.4,Unlocked,Unlocked,1928.965,-2.78,0.00+0.00j,1.0,0.0,Not Working,0,0,0,0.0,Not Working,0,0,0,0.0,Unlocked,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Unlocked,0,0,0.0,0,0,0.0,Not Working,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Not Working,0,0,0.0,0,0,0.0,Not Working,8PSK 2/3,0,0,16APSK 2/3,0,0,16APSK 4/5,0,0
2024-03-29 22:40:47.808,-41.1,-53.4,0.7,1.3,Unlocked,Unlocked,1157.118,-6.295,0.00+0.00j,1.0,0.0,Not Working,0,0,0,0.0,Not Working,0,0,0,0.0,Unlocked,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Unlocked,0,0,0.0,0,0,0.0,Not Working,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Not Working,0,0,0.0,0,0,0.0,Not Working,8PSK 2/3,0,0,16APSK 2/3,0,0,16APSK 4/5,0,0
2024-03-29 22:40:48.822,-41.1,-53.4,1.0,1.6,Unlocked,Unlocked,613.7769999999999,-9.937000000000001,0.00+0.00j,1.0,0.0,Not Working,0,0,0,0.0,Not Working,0,0,0,0.0,Unlocked,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Unlocked,0,0,0.0,0,0,0.0,Not Working,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Not Working,0,0,0.0,0,0,0.0,Not Working,8PSK 2/3,0,0,16APSK 2/3,0,0,16APSK 4/5,0,0
2024-03-29 22:40:49.836,-41.1,-53.0,0.8,1.4,Unlocked,Unlocked,-84.01700000000001,-1.1520000000000001,0.00+0.00j,1.0,0.0,Not Working,0,0,0,0.0,Not Working,0,0,0,0.0,Unlocked,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Unlocked,0,0,0.0,0,0,0.0,Not Working,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Not Working,0,0,0.0,0,0,0.0,Not Working,8PSK 2/3,0,0,16APSK 2/3,0,0,16APSK 4/5,0,0
2024-03-29 22:40:50.850,-41.1,-53.8,0.7,1.3,Unlocked,Unlocked,-2424.841,-5.113,0.00+0.00j,1.0,0.0,Not Working,0,0,0,0.0,Not Working,0,0,0,0.0,Unlocked,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Unlocked,0,0,0.0,0,0,0.0,Not Working,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Not Working,0,0,0.0,0,0,0.0,Not Working,8PSK 2/3,0,0,16APSK 2/3,0,0,16APSK 4/5,0,0
2024-03-29 22:40:51.864,-41.1,-52.9,0.7,1.3,Unlocked,Unlocked,-1688.4260000000002,-8.763,0.00+0.00j,1.0,0.0,Not Working,0,0,0,0.0,Not Working,0,0,0,0.0,Unlocked,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Unlocked,0,0,0.0,0,0,0.0,Not Working,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Not Working,0,0,0.0,0,0,0.0,Not Working,8PSK 2/3,0,0,16APSK 2/3,0,0,16APSK 4/5,0,0
